ts,Tsurf,Csurf,Tc,Cc,jw,W,Tamb,Camb
948.0,305.13806803908227,2.5487448641988752,302.653781597203,2.5499999998189935,3.0521495671011588e-09,0.7400986824291595,309.1276,0.026816
949.0,305.14377920820937,2.548743700770725,302.65755023730134,2.549999999815949,3.056863708830382e-09,0.7400985937676086,309.13705,0.0268205
950.0,305.1494966656598,2.5487425327070827,302.661322290729,2.549999999812859,3.0615895236340115e-09,0.7400985049689784,309.1465,0.026825
951.0,305.15522032046243,2.548741360044403,302.66509774638615,2.549999999809724,3.0663268892049815e-09,0.7400984160329038,309.15594999999996,0.026829500000000003
952.0,305.1609500816462,2.548740182819139,302.6688765931728,2.5499999998065435,3.071075683086216e-09,0.740098326959019,309.1654,0.026834
953.0,305.16668614801534,2.5487390009519775,302.6726588240987,2.5499999998033163,3.0758362021477997e-09,0.7400982377472464,309.17485,0.0268385
954.0,305.17242847712146,2.5487378144599884,302.67644442875206,2.5499999998000416,3.0806083942889553e-09,0.7400981483972686,309.1843,0.026843000000000002
955.0,305.17817685094957,2.548736623430381,302.6802333942312,2.549999999796719,3.085391953036787e-09,0.7400980589085937,309.19374999999997,0.0268475
956.0,305.1839312022698,2.5487354278901293,302.6840257097729,2.5499999997933482,3.09018679001736e-09,0.740097969280879,309.2032,0.026852
957.0,305.1896914638522,2.5487342278662046,302.687821364614,2.5499999997899288,3.0949928167479738e-09,0.7400978795137825,309.21265,0.026856500000000002
958.0,305.195457568467,2.548733023385581,302.69162034799126,2.54999999978646,3.0998099446362667e-09,0.7400977896069623,309.22209999999995,0.026861000000000003
959.0,305.20122944888436,2.548731814475233,302.6954226491414,2.549999999782941,3.1046380849804597e-09,0.7400976995600761,309.23154999999997,0.0268655
960.0,305.20699481742525,2.5487306028802053,302.69922825787717,2.549999999779372,3.1094593890654775e-09,0.740097609379208,309.241,0.02687
961.0,305.2126890654068,2.5487294150069406,302.7030371664764,2.549999999775751,3.111754493262844e-09,0.7400975190979563,309.24538333333334,0.026877500000000002
962.0,305.21831500383195,2.5487282360232957,302.7068493650305,2.549999999772078,3.1139528323270216e-09,0.7400974287354446,309.24976666666663,0.026885000000000003
963.0,305.2238745947968,2.5487270681343945,302.71066484388837,2.5499999997683527,3.1160571936491575e-09,0.740097338311087,309.25415,0.0268925
964.0,305.22939293199033,2.54872590841335,302.7144835930137,2.549999999764574,3.1181040090260652e-09,0.7400972478286815,309.25853333333333,0.0269
965.0,305.23487602280545,2.5487247555907784,302.71830560277584,2.549999999760742,3.120101964660818e-09,0.7400971572908014,309.2629166666666,0.0269075
966.0,305.2403319558158,2.548723607999925,302.7221308636041,2.549999999756855,3.122062786574009e-09,0.7400970666974597,309.2673,0.026915
967.0,305.2457616365297,2.548722465088373,302.72595936629307,2.549999999752913,3.1239877547972635e-09,0.7400969760474665,309.2716833333333,0.026922500000000002
968.0,305.2511714013574,2.5487213258163113,302.72979110142484,2.549999999748915,3.1258860654785335e-09,0.7400968853423481,309.2760666666666,0.026930000000000003
969.0,305.25655934850516,2.5487201904820678,302.73362606018355,2.549999999744861,3.1277549225550286e-09,0.7400967945822577,309.28045,0.026937500000000003
970.0,305.2619290689763,2.5487190583939014,302.7374642334229,2.549999999740749,3.1295995312925845e-09,0.740096703767863,309.2848333333333,0.026945
971.0,305.2672799648918,2.548717929712079,302.74130561261893,2.54999999973658,3.1314189979825404e-09,0.7400966129001347,309.2892166666667,0.0269525
972.0,305.27261382136385,2.5487168040819803,302.7451501889246,2.5499999997323517,3.133215901830433e-09,0.7400965219796641,309.29359999999997,0.02696
973.0,305.2779313285687,2.5487156813933645,302.7489979541012,2.5499999997280645,3.1349912285763643e-09,0.7400964310073004,309.2979833333333,0.026967500000000002
974.0,305.2832334341756,2.5487145614620523,302.75284889995237,2.5499999997237173,3.1367463405887307e-09,0.7400963399835847,309.30236666666667,0.026975000000000002
975.0,305.28852080986087,2.548713444153652,302.7567030190272,2.5499999997193097,3.1384821991030206e-09,0.740096248908918,309.30674999999997,0.0269825
976.0,305.293794533414,2.5487123292761575,302.76056030235713,2.5499999997148404,3.1402003595263902e-09,0.7400961577841584,309.3111333333333,0.02699
977.0,305.2990555165227,2.548711216661113,302.7644207415943,2.5499999997103093,3.1419021365053117e-09,0.7400960666099773,309.31551666666667,0.0269975
978.0,305.3043040786476,2.548710106241442,302.7682843297467,2.5499999997057157,3.1435879811616163e-09,0.7400959753866873,309.31989999999996,0.027005
979.0,305.30954022803655,2.548708998003348,302.77215106053495,2.5499999997010585,3.145257890451125e-09,0.7400958841144134,309.3242833333333,0.027012500000000002
980.0,305.31476516939887,2.548707891728184,302.7760209249404,2.549999999696337,3.1469136100787637e-09,0.7400957927940041,309.32866666666666,0.027020000000000002
981.0,305.31997959047476,2.548706787285804,302.7798939151278,2.5499999996915506,3.1485561319818276e-09,0.740095701425995,309.33304999999996,0.027027500000000003
982.0,305.32518347455624,2.548705684676971,302.7837700253729,2.5499999996866984,3.1501854191792686e-09,0.7400956100105555,309.3374333333333,0.027035
983.0,305.3303767402957,2.5487045839144598,302.78764925014525,2.5499999996817797,3.1518013401349715e-09,0.7400955185478214,309.34181666666666,0.0270425
984.0,305.33556032203967,2.5487034848222816,302.7915315808707,2.5499999996767935,3.153405249242064e-09,0.7400954270384565,309.34619999999995,0.02705
985.0,305.3407346818765,2.548702387312203,302.7954170103903,2.5499999996717393,3.1549978113093205e-09,0.7400953354828795,309.3505833333333,0.0270575
986.0,305.3458997724012,2.5487012913951856,302.79930553419814,2.549999999666616,3.1565789461162145e-09,0.74009524388124,309.35496666666666,0.027065000000000002
987.0,305.351055668983,2.548700197058287,302.803197147149,2.549999999661423,3.1581487531484706e-09,0.740095152233753,309.35934999999995,0.0270725
988.0,305.3562029550367,2.5486991041896445,302.8070918414521,2.5499999996561598,3.159708076136569e-09,0.7400950605409001,309.3637333333333,0.02708
989.0,305.3613419518727,2.548698012728421,302.81098961068164,2.5499999996508254,3.1612573757859e-09,0.7400949688030263,309.36811666666665,0.0270875
990.0,305.366472431608,2.548696922721085,302.81489045469624,2.5499999996454186,3.162796308520746e-09,0.7400948770201283,309.37249999999995,0.027095
991.0,305.371594636922,2.548695834122163,302.8187943679699,2.549999999639939,3.1643252201859425e-09,0.7400947851925008,309.3768833333333,0.0271025
992.0,305.37670908317557,2.5486947468328944,302.82270134185603,2.5499999996343856,3.1658448568614216e-09,0.7400946933206105,309.38126666666665,0.027110000000000002
993.0,305.38181603816497,2.548693660802889,302.82661137054123,2.5499999996287577,3.167355602380828e-09,0.7400946014047679,309.38565,0.027117500000000003
994.0,305.3869157696865,2.548692575981754,302.8305244482119,2.5499999996230547,3.1688578410247193e-09,0.7400945094452834,309.3900333333333,0.027125
995.0,305.39200854553644,2.548691492319091,302.8344405690546,2.5499999996172757,3.170351957518219e-09,0.7400944174424672,309.39441666666664,0.0271325
996.0,305.3970944727715,2.548690409795502,302.83835972981524,2.5499999996114195,3.1718381010766263e-09,0.7400943253965117,309.3988,0.02714
997.0,305.40217293889907,2.548689328530367,302.8422819386975,2.549999999605485,3.173315364552398e-09,0.7400942333070792,309.4031833333333,0.0271475
998.0,305.4072447578646,2.5486882483679496,302.8462071811914,2.5499999995994718,3.174784934885963e-09,0.7400941411748826,309.40756666666664,0.027155000000000002
999.0,305.4123101326763,2.548687169270342,302.850135452515,2.549999999593379,3.176247102787677e-09,0.740094049000184,309.41195,0.0271625
1000.0,305.41736926634246,2.5486860911996327,302.85406674788646,2.549999999587205,3.1777021593033166e-09,0.7400939567832464,309.41633333333334,0.02717
1001.0,305.4224223618713,2.548685014117906,302.8580010625239,2.5499999995809506,3.179150395813998e-09,0.7400938645243323,309.42071666666664,0.0271775
1002.0,305.42746962227113,2.5486839379872466,302.8619383916455,2.5499999995746134,3.1805921040343132e-09,0.7400937722237046,309.4251,0.027185
1003.0,305.43251059858693,2.5486828628945846,302.8658787441787,2.549999999568193,3.1820266171152186e-09,0.7400936798810844,309.42948333333334,0.0271925
1004.0,305.4375455193953,2.5486817887971087,302.8698221148041,2.5499999995616878,3.1834542642631244e-09,0.7400935874967556,309.43386666666663,0.027200000000000002
1005.0,305.44257474971647,2.548680715625874,302.87376849533297,2.5499999995550975,3.1848755758488e-09,0.7400934950711152,309.43825,0.027207500000000003
1006.0,305.4475984357262,2.548679643353844,302.8777178821785,2.5499999995484215,3.186290760698773e-09,0.7400934026043791,309.44263333333333,0.027215
1007.0,305.4526167236005,2.5486785719539773,302.881670271754,2.5499999995416585,3.1877000278795473e-09,0.7400933100967627,309.4470166666666,0.0272225
1008.0,305.45762975951516,2.548677501399233,302.88562566047256,2.5499999995348075,3.1891035866970063e-09,0.7400932175484812,309.4514,0.02723
1009.0,305.4626375587414,2.548676431687336,302.8895840486272,2.5499999995278677,3.1905014538435275e-09,0.7400931249596228,309.45578333333333,0.0272375
1010.0,305.46763981374966,2.5486753628770895,302.89354544607806,2.5499999995208373,3.1918931703517227e-09,0.7400930323299593,309.4601666666666,0.027245000000000002
1011.0,305.4726369654827,2.5486742948856795,302.897509840502,2.549999999513717,3.1932793800335117e-09,0.7400929396599942,309.46455,0.0272525
1012.0,305.4776291224928,2.548673227693177,302.9014772294273,2.549999999506504,3.194660237326219e-09,0.7400928469499062,309.4689333333333,0.02726
1013.0,305.48261639333214,2.5486721612796543,302.90544761038234,2.5499999994991986,3.196035896844368e-09,0.7400927541998743,309.4733166666666,0.0272675
1014.0,305.48759888655314,2.548671095625183,302.9094209808953,2.5499999994917997,3.19740651337963e-09,0.740092661410077,309.47769999999997,0.027275
1015.0,305.49257671070814,2.5486700307098324,302.91339733849446,2.549999999484306,3.1987722419003827e-09,0.7400925685806932,309.4820833333333,0.0272825
1016.0,305.49754977152236,2.5486689665514177,302.91737668886924,2.549999999476716,3.200132938165495e-09,0.7400924757116621,309.4864666666666,0.027290000000000002
1017.0,305.5025181798139,2.5486679031295862,302.92135902945665,2.54999999946903,3.20148876059807e-09,0.7400923828031651,309.49084999999997,0.027297500000000002
1018.0,305.50748206050474,2.548666840421359,302.9253443571264,2.549999999461245,3.2028398886301407e-09,0.7400922898554005,309.4952333333333,0.027305
1019.0,305.51244149365994,2.5486657784121034,302.9293326705529,2.549999999453362,3.2041864356305542e-09,0.7400921968685136,309.4996166666666,0.0273125
1020.0,305.5174002419961,2.5486647172785313,302.93332396850485,2.5499999994453786,3.2055339654391804e-09,0.7400921038435414,309.50399999999996,0.02732
1021.0,305.5224755095442,2.5486636780354317,302.9373182526463,2.549999999437294,3.204961341387083e-09,0.7400920108090235,309.5158833333333,0.027330166666666666
1022.0,305.52767472152954,2.5486626474196203,302.9413155224192,2.5499999994291076,3.2045743837245675e-09,0.7400919177783946,309.52776666666665,0.027340333333333335
1023.0,305.5329704744745,2.5486616253180836,302.9453157767042,2.549999999420818,3.2043326709540353e-09,0.7400918247603688,309.53965,0.0273505
1024.0,305.5383290212229,2.548660608870999,302.9493190141086,2.549999999412423,3.2041863140399e-09,0.740091731751364,309.5515333333333,0.02736066666666667
1025.0,305.5437404036191,2.5486595964179086,302.9533252337002,2.5499999994039237,3.2041206249599133e-09,0.7400916387468639,309.5634166666666,0.027370833333333334
1026.0,305.5491974082099,2.54865858716392,302.95733443469675,2.5499999993953177,3.204124975364178e-09,0.7400915457440419,309.57529999999997,0.027381
1027.0,305.5546931351466,2.54865758022902,302.96134661631226,2.5499999993866034,3.2041891887915286e-09,0.740091452739491,309.5871833333333,0.027391166666666668
1028.0,305.56022754622376,2.548656575700873,302.9653617779017,2.549999999377781,3.2043132620435953e-09,0.740091359732094,309.59906666666666,0.027401333333333333
1029.0,305.5657957830079,2.548655573016296,302.96937991869055,2.5499999993688487,3.204490035392041e-09,0.7400912667195532,309.61095,0.027411500000000002
1030.0,305.5713976635646,2.5486545721506717,302.97340103793266,2.5499999993598053,3.2047192853086518e-09,0.7400911737010403,309.6228333333333,0.027421666666666667
1031.0,305.57703079073787,2.548653572815823,302.9774251348091,2.54999999935065,3.204997497502357e-09,0.7400910806750118,309.63471666666663,0.027431833333333332
1032.0,305.58269360557176,2.548652574808261,302.98145220846135,2.549999999341381,3.2053223989545188e-09,0.7400909876402846,309.6466,0.027442
1033.0,305.58838490551904,2.5486515779825396,302.985482257616,2.5499999993319977,3.2056922439513247e-09,0.7400908945956209,309.6584833333333,0.027452166666666666
1034.0,305.5941028465494,2.548650582112133,302.9895152815265,2.5499999993224987,3.206104330908452e-09,0.7400908015396925,309.67036666666667,0.027462333333333335
1035.0,305.5998457713536,2.5486495869927577,302.9935512793059,2.5499999993128823,3.2065562327334176e-09,0.7400907084712085,309.68224999999995,0.0274725
1036.0,305.6056130528142,2.5486485925427083,302.99759024953477,2.5499999993031484,3.2070470521713105e-09,0.7400906153891152,309.6941333333333,0.027482666666666666
1037.0,305.61140419626224,2.54864759869604,303.00163219072596,2.549999999293295,3.207576088080571e-09,0.7400905222923889,309.70601666666664,0.027492833333333334
1038.0,305.6172173780254,2.5486466052287264,303.0056771020718,2.549999999283321,3.2081406599478778e-09,0.7400904291797002,309.7179,0.027503
1039.0,305.623051532296,2.548645612006541,303.00972498233165,2.549999999273225,3.2087392126010556e-09,0.7400903360499101,309.72978333333333,0.02751316666666667
1040.0,305.6289075570071,2.5486446191246666,303.01377582874227,2.5499999992630067,3.209373114385486e-09,0.7400902429025173,309.7416666666667,0.027523333333333334
1041.0,305.63478371797487,2.548643626370814,303.0178296405813,2.549999999252664,3.2100398131248125e-09,0.7400901497361665,309.75354999999996,0.0275335
1042.0,305.6406791775562,2.548642633637437,303.0218864164312,2.5499999992421962,3.2107380898921567e-09,0.7400900565497925,309.7654333333333,0.027543666666666668
1043.0,305.64659397281406,2.5486416409199055,303.0259461534661,2.5499999992316016,3.2114680285936726e-09,0.7400899633427342,309.77731666666665,0.027553833333333333
1044.0,305.65252767302616,2.548640648158556,303.03000884961347,2.5499999992208786,3.2122290155420147e-09,0.7400898701141141,309.7892,0.027564
1045.0,305.6584794247896,2.548639655244009,303.03407450348107,2.549999999210026,3.2130198056224828e-09,0.7400897768628606,309.8010833333333,0.027574166666666667
1046.0,305.66444891205055,2.54863866213019,303.03814311211715,2.549999999199043,3.213839954222189e-09,0.7400896835881996,309.8129666666666,0.027584333333333332
