x_m,y_m,r_m,phi_deg,E_diam_given_detectable_m,E_diam_mixed_mm,p_detectable,cov_weight,Dmin_m,Dmax_m,E_diam_err_given_detectable_m,E_diam_err_mixed_m,cov_err,n_ok,usable,near_axis_unusable_band
-60.0,-1320.0,1321.3629,267.3974,116.268326,116.268326,1.0,1.0,28.153512,180.518128,112.319234,112.319234,1.0,300,1,0
-30.0,-1320.0,1320.3409,268.698,113.922204,113.922204,1.0,1.0,28.093408,177.017327,114.413117,114.413117,1.0,300,1,0
0.0,-1320.0,1320.0,270.0,111.626938,111.626938,1.0,1.0,28.057216,173.569282,116.978296,116.978296,1.0,300,1,0
30.0,-1320.0,1320.3409,271.302,109.382539,109.382539,1.0,1.0,28.046331,170.174098,107.881091,107.881091,1.0,300,1,0
60.0,-1320.0,1321.3629,272.6026,107.189031,107.189031,1.0,1.0,28.080046,166.83188,110.067322,110.067322,1.0,300,1,0
90.0,-1320.0,1323.0646,273.9005,105.046536,105.046536,1.0,1.0,28.13756,163.542738,99.190803,99.190803,1.0,300,1,0
120.0,-1320.0,1325.4433,275.1944,102.955241,102.955241,1.0,1.0,28.218872,160.306781,107.647862,107.647862,1.0,300,1,0
150.0,-1320.0,1328.4954,276.4831,100.915405,100.915405,1.0,1.0,28.323983,157.124123,101.236298,101.236298,1.0,300,1,0
180.0,-1320.0,1332.2162,277.7652,98.92735,98.92735,1.0,1.0,28.452893,153.994878,100.069984,100.069984,1.0,300,1,0
210.0,-1320.0,1336.6002,279.0395,96.991466,96.991466,1.0,1.0,28.605601,150.919161,97.973056,97.973056,1.0,300,1,0
240.0,-1320.0,1341.6408,280.3048,95.10821,95.10821,1.0,1.0,28.782109,147.897091,95.339177,95.339177,1.0,300,1,0
270.0,-1320.0,1347.3307,281.5601,93.278099,93.278099,1.0,1.0,28.982415,144.928783,93.043279,93.043279,1.0,300,1,0
300.0,-1320.0,1353.6617,282.8043,91.501712,91.501712,1.0,1.0,29.206519,142.014355,94.646294,94.646294,1.0,300,1,0
330.0,-1320.0,1360.6249,284.0362,89.779686,89.779686,1.0,1.0,29.454423,139.153924,88.783426,88.783426,1.0,300,1,0
