x_m,y_m,r_m,phi_deg,E_diam_given_detectable_m,E_diam_mixed_mm,p_detectable,cov_weight,Dmin_m,Dmax_m,E_diam_err_given_detectable_m,E_diam_err_mixed_m,cov_err,n_ok,usable,near_axis_unusable_band
-400.0,-1740.0,1785.3851,257.0535,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-380.0,-1740.0,1781.0109,257.6806,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-360.0,-1740.0,1776.8511,258.3106,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-340.0,-1740.0,1772.9072,258.9436,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-320.0,-1740.0,1769.1806,259.5793,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-300.0,-1740.0,1765.6727,260.2176,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-280.0,-1740.0,1762.3847,260.8584,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-260.0,-1740.0,1759.318,261.5014,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-240.0,-1740.0,1756.4737,262.1467,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-220.0,-1740.0,1753.8529,262.7939,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-200.0,-1740.0,1751.4565,263.4431,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-180.0,-1740.0,1749.2856,264.0939,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-160.0,-1740.0,1747.3408,264.7462,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-140.0,-1740.0,1745.6231,265.3999,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-120.0,-1740.0,1744.133,266.0548,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-100.0,-1740.0,1742.8712,266.7108,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
