audit_ok,clear_ratio,cleared,complete_proof,completion_kind,error,exit_per_source_s,exit_s,full_clear,index,last_clear_per_source_s,last_clear_s,n_clear_failure,n_clear_success,n_measure,n_rejected,n_sources,n_switch,policy,scenario,seed,split,status,t_clear_s,t_measure_s,t_switch_s,t_travel_s,tail_s,trace_file,travel_m,wall_s,wall_within_1200s
True,1.0,14,True,continuous_cell,,221.30940674493442,3098.331694429082,True,4,218.73797817350584,3062.331694429082,4,14,129,0,14,119,joint,random,2026091588,main,ok,82.0,645.0,119.0,2252.331694429081,36.0,traces\main_random_004_2026091588_joint.json,11261.658472145406,2.810151900001074,True
True,1.0,13,,field,,424.37233555297587,5516.840362188686,True,5,300.03342195207756,3900.4344853770085,2,13,185,0,13,176,field,random,2026091685,main,ok,71.0,925.0,176.0,4344.840362188683,1616.405876811678,traces\main_random_005_2026091685_field.json,21724.201810943414,0.18040960000143969,True
True,1.0,13,,sweep,,310.98266604243594,4042.774658551667,True,5,310.98266604243594,4042.774658551667,0,13,101,0,13,99,sweep,random,2026091685,main,ok,65.0,505.0,99.0,3373.7746585516675,0.0,traces\main_random_005_2026091685_sweep.json,16868.873292758337,0.22330559999863908,True
True,1.0,13,False,tour,,321.33556652838604,4177.362364869018,True,5,321.33556652838604,4177.362364869018,9,13,170,0,13,167,tour,random,2026091685,main,ok,92.0,850.0,167.0,3068.362364869016,0.0,traces\main_random_005_2026091685_tour.json,15341.811824345079,0.8032070999997813,True
True,1.0,13,True,continuous_cell,,245.56249634811005,3192.3124525254307,True,5,242.33172711734082,3150.3124525254307,0,13,157,0,13,154,adaptive,random,2026091685,main,ok,65.0,785.0,154.0,2188.3124525254298,42.0,traces\main_random_005_2026091685_adaptive.json,10941.562262627149,1.135541399999056,True
True,1.0,13,True,continuous_cell,,219.86525425110452,2858.248305264359,True,5,219.86525425110452,2858.248305264359,1,13,108,0,13,103,joint,random,2026091685,main,ok,68.0,540.0,103.0,2147.2483052643597,0.0,traces\main_random_005_2026091685_joint.json,10736.241526321799,3.663313700000799,True
True,1.0,11,,field,,469.48972886015525,5164.387017461708,True,6,358.0672918361023,3938.740210197125,0,11,191,0,11,183,field,random,2026091782,main,ok,55.0,955.0,183.0,3971.387017461704,1225.6468072645825,traces\main_random_006_2026091782_field.json,19856.93508730852,0.1854366999996273,True
True,1.0,11,,sweep,,336.9636708997949,3706.600379897744,True,6,336.9636708997949,3706.600379897744,0,11,115,0,11,109,sweep,random,2026091782,main,ok,55.0,575.0,109.0,2967.6003798977445,0.0,traces\main_random_006_2026091782_sweep.json,14838.001899488723,0.16440549999970244,True
True,1.0,11,True,tour,,331.3368734036785,3644.7056074404636,True,6,331.3368734036785,3644.7056074404636,11,11,160,0,11,157,tour,random,2026091782,main,ok,88.0,800.0,157.0,2599.705607440463,0.0,traces\main_random_006_2026091782_tour.json,12998.528037202315,1.0063289000008808,True
True,1.0,11,True,continuous_cell,,272.5658490633459,2998.224339696805,True,6,272.5658490633459,2998.224339696805,0,11,159,0,11,157,adaptive,random,2026091782,main,ok,55.0,795.0,157.0,1991.224339696805,0.0,traces\main_random_006_2026091782_adaptive.json,9956.121698484025,0.8312998000001244,True
True,1.0,11,True,continuous_cell,,248.99101057283434,2738.901116301178,True,6,220.62832942426866,2426.911623666955,1,11,127,0,11,124,joint,random,2026091782,main,ok,58.0,635.0,124.0,1921.9011163011783,311.98949263422264,traces\main_random_006_2026091782_joint.json,9609.505581505891,2.7553351000005932,True
True,1.0,12,,field,,435.05790453344724,5220.694854401367,True,7,287.3257150929259,3447.908581115111,1,12,181,0,12,177,field,random,2026091879,main,ok,63.0,905.0,177.0,4075.694854401362,1772.786273286256,traces\main_random_007_2026091879_field.json,20378.47427200681,0.23332309999932477,True
True,1.0,12,,sweep,,321.1316690890548,3853.580029068658,True,7,321.1316690890548,3853.580029068658,0,12,122,0,12,120,sweep,random,2026091879,main,ok,60.0,610.0,120.0,3063.580029068656,0.0,traces\main_random_007_2026091879_sweep.json,15317.900145343281,0.33554999999978463,True
True,1.0,12,True,tour,,320.54550609371086,3846.5460731245303,True,7,276.2709164882774,3315.250997859329,2,12,179,0,12,177,tour,random,2026091879,main,ok,66.0,895.0,177.0,2708.546073124532,531.2950752652014,traces\main_random_007_2026091879_tour.json,13542.73036562266,0.6602800999989995,True
True,1.0,12,True,continuous_cell,,265.76205739140477,3189.1446886968574,True,7,265.76205739140477,3189.1446886968574,0,12,182,0,12,180,adaptive,random,2026091879,main,ok,60.0,910.0,180.0,2039.1446886968565,0.0,traces\main_random_007_2026091879_adaptive.json,10195.723443484283,1.06210529999953,True
True,1.0,12,True,continuous_cell,,230.56687027253327,2766.802443270399,True,7,205.4188178346412,2465.0258140156943,2,12,121,0,12,117,joint,random,2026091879,main,ok,66.0,605.0,117.0,1978.8024432703987,301.77662925470486,traces\main_random_007_2026091879_joint.json,9894.012216351994,3.343694700000924,True
True,1.0,15,,field,,381.08627931253153,5716.294189687973,True,8,330.1995410780248,4952.993116170373,0,15,169,0,15,156,field,random,2026091976,main,ok,75.0,845.0,156.0,4640.294189687972,763.3010735176003,traces\main_random_008_2026091976_field.json,23201.47094843986,0.18699439999909373,True
True,1.0,15,,sweep,,287.8201034979918,4317.301552469877,True,8,287.8201034979918,4317.301552469877,0,15,133,0,15,131,sweep,random,2026091976,main,ok,75.0,665.0,131.0,3446.301552469875,0.0,traces\main_random_008_2026091976_sweep.json,17231.507762349374,0.34490809999988414,True
True,1.0,15,True,tour,,259.10381748343497,3886.5572622515247,True,8,259.10381748343497,3886.5572622515247,5,15,163,0,15,161,tour,random,2026091976,main,ok,90.0,815.0,161.0,2820.557262251525,0.0,traces\main_random_008_2026091976_tour.json,14102.786311257625,0.8618172999995295,True
True,1.0,15,True,continuous_cell,,220.1366924886599,3302.0503873298985,True,8,207.0646797386647,3105.9701960799703,1,15,141,0,15,136,adaptive,random,2026091976,main,ok,78.0,705.0,136.0,2383.050387329898,196.08019124992825,traces\main_random_008_2026091976_adaptive.json,11915.25193664949,1.0730416999995214,True
True,1.0,15,True,continuous_cell,,210.30252379315095,3154.537856897264,True,8,210.30252379315095,3154.537856897264,4,15,120,0,15,113,joint,random,2026091976,main,ok,87.0,600.0,113.0,2354.5378568972637,0.0,traces\main_random_008_2026091976_joint.json,11772.68928448632,3.206214400001045,True
True,1.0,16,,field,,359.1311420182676,5746.098272292282,True,9,242.50300928800874,3880.04814860814,1,16,165,0,16,157,field,random,2026092073,main,ok,83.0,825.0,157.0,4681.098272292277,1866.050123684142,traces\main_random_009_2026092073_field.json,23405.491361461387,0.1987093999996432,True
True,1.0,16,,sweep,,259.4120029616909,4150.592047387055,True,9,259.4120029616909,4150.592047387055,0,16,118,0,16,116,sweep,random,2026092073,main,ok,80.0,590.0,116.0,3364.592047387055,0.0,traces\main_random_009_2026092073_sweep.json,16822.960236935276,0.2474369999999908,True
True,1.0,16,True,tour,,236.94083682198558,3791.0533891517694,True,9,236.94083682198558,3791.0533891517694,10,16,150,0,16,148,tour,random,2026092073,main,ok,110.0,750.0,148.0,2783.053389151769,0.0,traces\main_random_009_2026092073_tour.json,13915.266945758845,0.966625799999747,True
True,1.0,16,True,continuous_cell,,194.6185473608309,3113.896757773294,True,9,180.47584280097206,2887.613484815553,3,16,144,0,16,141,adaptive,random,2026092073,main,ok,89.0,720.0,141.0,2163.8967577732956,226.28327295774125,traces\main_random_009_2026092073_adaptive.json,10819.483788866477,1.5782673000012437,True
True,1.0,16,True,continuous_cell,,167.8788936947796,2686.0622991164737,True,9,162.36710398800477,2597.8736638080763,3,16,96,0,16,91,joint,random,2026092073,main,ok,89.0,480.0,91.0,2026.062299116474,88.18863530839735,traces\main_random_009_2026092073_joint.json,10130.31149558237,4.704466400000456,True
True,1.0,10,,field,,556.9668998013406,5569.668998013405,True,10,344.6751839056254,3446.7518390562536,1,10,185,0,10,172,field,random,2026092170,main,ok,53.0,925.0,172.0,4419.6689980134015,2122.9171589571515,traces\main_random_010_2026092170_field.json,22098.34499006701,0.20762850000028266,True
True,1.0,10,,sweep,,379.0972933956843,3790.972933956843,True,10,379.0972933956843,3790.972933956843,0,10,140,0,10,138,sweep,random,2026092170,main,ok,50.0,700.0,138.0,2902.9729339568435,0.0,traces\main_random_010_2026092170_sweep.json,14514.864669784218,0.3059758999988844,True
True,1.0,10,False,tour,,300.9138762204063,3009.138762204063,True,10,300.9138762204063,3009.138762204063,4,10,149,0,10,147,tour,random,2026092170,main,ok,62.0,745.0,147.0,2055.138762204063,0.0,traces\main_random_010_2026092170_tour.json,10275.693811020314,0.7849160999994638,True
True,1.0,10,True,continuous_cell,,310.06717181684485,3100.6717181684485,True,10,310.06717181684485,3100.6717181684485,2,10,163,0,10,160,adaptive,random,2026092170,main,ok,56.0,815.0,160.0,2069.6717181684485,0.0,traces\main_random_010_2026092170_adaptive.json,10348.358590842243,0.9493850999988354,True
True,1.0,10,True,continuous_cell,,267.7437088945553,2677.437088945553,True,10,267.7437088945553,2677.437088945553,4,10,142,0,10,137,joint,random,2026092170,main,ok,62.0,710.0,137.0,1768.4370889455538,0.0,traces\main_random_010_2026092170_joint.json,8842.18544472777,2.119759299999714,True
True,1.0,15,,field,,354.0475727880131,5310.713591820197,True,11,281.12773998886775,4216.916099833016,3,15,167,0,15,154,field,random,2026092267,main,ok,84.0,835.0,154.0,4237.713591820191,1093.7974919871804,traces\main_random_011_2026092267_field.json,21188.567959100954,0.17006239999864192,True
